INSERT INTO pracownicy VALUES(1, 'Mikolaj', 'Rutkowski', 'prowadzacy', 'prof. dr hab.');
INSERT INTO pracownicy VALUES(2, 'Marcin', 'Szewczyk', 'prowadzacy', 'mgr');
INSERT INTO pracownicy VALUES(3, 'Mateusz', 'Zawadzki', 'prowadzacy', 'prof. dr hab.');
INSERT INTO pracownicy VALUES(4, 'Hanna', 'Mikolajczyk', 'prowadzacy', 'prof.');
INSERT INTO pracownicy VALUES(5, 'Sandra', 'Cieslak', 'prowadzacy', 'dr');
INSERT INTO pracownicy VALUES(6, 'Iga', 'Mroz', 'prowadzacy', 'mgr inz.');
INSERT INTO pracownicy VALUES(7, 'Maksymilian', 'Jaworski', 'prowadzacy', 'prof.');
INSERT INTO pracownicy VALUES(8, 'Jan', 'Zielinski', 'prowadzacy', 'inz.');
INSERT INTO pracownicy VALUES(9, 'Rafal', 'Sikora', 'prowadzacy', 'prof.');
INSERT INTO pracownicy VALUES(10, 'Liliana', 'Zajac', 'prowadzacy', 'prof. dr hab.');
INSERT INTO pracownicy VALUES(11, 'Tadeusz', 'Kaczmarek', 'prowadzacy', 'inz.');
INSERT INTO pracownicy VALUES(12, 'Bartek', 'Blaszczyk', 'prowadzacy', 'prof.');
INSERT INTO pracownicy VALUES(13, 'Weronika', 'Bednarska', 'prowadzacy', 'prof. dr hab.');
INSERT INTO pracownicy VALUES(14, 'Mateusz', 'Domanski', 'prowadzacy', 'prof. dr hab.');
INSERT INTO pracownicy VALUES(15, 'Andrzej', 'Kania', 'prowadzacy', 'inz.');
INSERT INTO pracownicy VALUES(16, 'Kacper', 'Jankowski', 'prowadzacy', 'mgr');
INSERT INTO pracownicy VALUES(17, 'Kamil', 'Kozak', 'prowadzacy', 'prof. dr hab.');
INSERT INTO pracownicy VALUES(18, 'Piotr', 'Kowalski', 'prowadzacy', 'inz.');
INSERT INTO pracownicy VALUES(19, 'Paulina', 'Kaczmarek', 'prowadzacy', 'dr hab.');
INSERT INTO pracownicy VALUES(20, 'Jan', 'Piasecki', 'prowadzacy', 'dr hab.');
